asset_id,asset_name,severity,risk_points,likely_owner,rule_id,title,message,suggested_validation
ART004,SM_CosmicFish_SoulForm_01,Critical,10,Tech Art,ART-TEX-001,Texture size over critical review budget,"Texture size is 8192px, which needs immediate budget review.","Compare texture size, compression, mip behavior, and platform target before sign-off."
ART005,SM_Merchant_Caravan_Wagon,Critical,10,Tech Art,ART-TEX-001,Texture size over critical review budget,"Texture size is 8192px, which needs immediate budget review.","Compare texture size, compression, mip behavior, and platform target before sign-off."
ART003,VFX_Starwell_Offering_Burst,Critical,10,Performance,SOAK-WARN-001,Soak test warning spike,"9 warning spike(s), 17 hitch(es), 248.2 MB memory growth over 90 minutes.","Review timestamped soak evidence, streaming behavior, VFX loops, memory growth, and repeatability."
ART002,SK_Nyx_Cat_Merchant_WIP,High,6,Animation,ANIM-WEIGHT-001,Skeletal mesh weighting warning,3 weighting warning(s) were captured.,"Check deformation poses, vertex influence, affected bones, and animation preview coverage."
ART004,SM_CosmicFish_SoulForm_01,High,6,Tech Art,ART-ALPHA-001,Alpha/translucency on high-density asset,"2 translucent material(s), 44.0% alpha coverage, and 118,000 triangles were captured together.","Review overdraw, material setup, camera overlap, and whether a cheaper presentation is acceptable."
ART005,SM_Merchant_Caravan_Wagon,High,6,Art,ART-MAT-001,Missing material slot assignment,"Missing material slot(s): M_Caravan_Wood_Trim, M_Caravan_Wheel_Metal","Open the asset in Unreal and verify slot assignment, defaults, and intended material overrides."
ART005,SM_Merchant_Caravan_Wagon,High,6,Engineering,ENG-COLL-001,Missing collision on gameplay asset,Asset is marked as gameplay-facing but collision is missing.,"Validate collision setup in PIE and confirm player, camera, projectile, or interaction expectations."
ART005,SM_Merchant_Caravan_Wagon,High,6,Performance,PERF-LOAD-001,Asset load warning,"5 load warning(s), 4200 ms asset load time.",Compare warm/cold load captures and check whether streaming or asset dependency cost changed.
ART005,SM_Merchant_Caravan_Wagon,High,6,Performance,SOAK-WARN-001,Soak test warning spike,"5 warning spike(s), 10 hitch(es), 126.4 MB memory growth over 75 minutes.","Review timestamped soak evidence, streaming behavior, VFX loops, memory growth, and repeatability."
ART006,T_MissingSlot_DebugMesh,High,6,Art,ART-MAT-001,Missing material slot assignment,Missing material slot(s): M_Debug_Default,"Open the asset in Unreal and verify slot assignment, defaults, and intended material overrides."
ART003,VFX_Starwell_Offering_Burst,High,6,Performance,PERF-LOAD-001,Asset load warning,"4 load warning(s), 3100 ms asset load time.",Compare warm/cold load captures and check whether streaming or asset dependency cost changed.
ART003,VFX_Starwell_Offering_Burst,High,6,VFX,VFX-PART-001,VFX particle count over threshold,"Particle count is 4200, above the review threshold of 2000.","Review spawn rate, lifetime, LOD behavior, and expected camera density."
ART002,SK_Nyx_Cat_Merchant_WIP,Medium,3,Tech Art,ART-LOD-001,Missing or insufficient LODs,LOD count is 1.,"Verify imported LODs, screen-size transitions, and expected viewing distance."
ART002,SK_Nyx_Cat_Merchant_WIP,Medium,3,Tech Art,ART-MAT-002,Material slot count over threshold,"Material slot count is 8, above the review threshold of 6.",Check whether material consolidation can reduce draw-call and maintenance risk.
ART002,SK_Nyx_Cat_Merchant_WIP,Medium,3,Performance,PERF-LOAD-001,Asset load warning,"1 load warning(s), 1780 ms asset load time.",Compare warm/cold load captures and check whether streaming or asset dependency cost changed.
ART005,SM_Merchant_Caravan_Wagon,Medium,3,QA,ART-BOUNDS-001,Suspiciously large bounds,Bounds extent is 62.0m.,"Validate pivot, bounds setup, culling behavior, collision, and map placement."
ART005,SM_Merchant_Caravan_Wagon,Medium,3,Tech Art,ART-LOD-001,Missing or insufficient LODs,LOD count is 0.,"Verify imported LODs, screen-size transitions, and expected viewing distance."
ART005,SM_Merchant_Caravan_Wagon,Medium,3,Tech Art,ART-MAT-002,Material slot count over threshold,"Material slot count is 10, above the review threshold of 6.",Check whether material consolidation can reduce draw-call and maintenance risk.
ART006,T_MissingSlot_DebugMesh,Medium,3,Tech Art,ART-LOD-001,Missing or insufficient LODs,LOD count is 0.,"Verify imported LODs, screen-size transitions, and expected viewing distance."
ART003,VFX_Starwell_Offering_Burst,Medium,3,Tech Art,ART-LOD-001,Missing or insufficient LODs,LOD count is 1.,"Verify imported LODs, screen-size transitions, and expected viewing distance."
ART003,VFX_Starwell_Offering_Burst,Medium,3,Tech Art,ART-MAT-002,Material slot count over threshold,"Material slot count is 9, above the review threshold of 6.",Check whether material consolidation can reduce draw-call and maintenance risk.
ART005,SM_Merchant_Caravan_Wagon,Low,1,QA,QA-NAME-001,Invalid naming or path convention,Naming valid: False; path valid: False.,Confirm naming and folder rules before content review or bug handoff.
ART005,SM_Merchant_Caravan_Wagon,Low,1,QA,QA-NAME-002,Validation naming/path warning,Asset suffix does not match current vehicle naming convention.; Vehicle asset lives outside the current gameplay transport folder.,Clean up naming/path convention before filing higher-cost technical issues.
ART006,T_MissingSlot_DebugMesh,Low,1,QA,QA-NAME-001,Invalid naming or path convention,Naming valid: False; path valid: False.,Confirm naming and folder rules before content review or bug handoff.
ART006,T_MissingSlot_DebugMesh,Low,1,QA,QA-NAME-002,Validation naming/path warning,Temporary prefix is not valid for content review.; Temp folder should not be used for reviewed content.,Clean up naming/path convention before filing higher-cost technical issues.
